Sat Sep 22 00:05:35 CDT 2018 waiting for Home
Sat Sep 22 00:05:35 CDT 2018 No match Home
Sat Sep 22 00:05:35 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:39 CDT 2018 waiting for Home
Sat Sep 22 00:05:39 CDT 2018 No match Home
Sat Sep 22 00:05:39 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:43 CDT 2018 waiting for Home
Sat Sep 22 00:05:43 CDT 2018 No match Home
Sat Sep 22 00:05:43 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:47 CDT 2018 waiting for Home
Sat Sep 22 00:05:47 CDT 2018 No match Home
Sat Sep 22 00:05:47 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:51 CDT 2018 waiting for Home
Sat Sep 22 00:05:51 CDT 2018 No match Home
Sat Sep 22 00:05:51 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:55 CDT 2018 waiting for Home
Sat Sep 22 00:05:55 CDT 2018 No match Home
Sat Sep 22 00:05:55 CDT 2018 skip check BuilderHome
Sat Sep 22 00:05:59 CDT 2018 waiting for Home
Sat Sep 22 00:05:59 CDT 2018 No match Home
Sat Sep 22 00:05:59 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:04 CDT 2018 waiting for Home
Sat Sep 22 00:06:04 CDT 2018 No match Home
Sat Sep 22 00:06:04 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:08 CDT 2018 waiting for Home
Sat Sep 22 00:06:08 CDT 2018 No match Home
Sat Sep 22 00:06:08 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:12 CDT 2018 waiting for Home
Sat Sep 22 00:06:12 CDT 2018 No match Home
Sat Sep 22 00:06:12 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:16 CDT 2018 waiting for Home
Sat Sep 22 00:06:16 CDT 2018 No match Home
Sat Sep 22 00:06:16 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:20 CDT 2018 waiting for Home
Sat Sep 22 00:06:20 CDT 2018 No match Home
Sat Sep 22 00:06:20 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:24 CDT 2018 waiting for Home
Sat Sep 22 00:06:24 CDT 2018 No match Home
Sat Sep 22 00:06:24 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:28 CDT 2018 waiting for Home
Sat Sep 22 00:06:28 CDT 2018 No match Home
Sat Sep 22 00:06:28 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:32 CDT 2018 waiting for Home
Sat Sep 22 00:06:32 CDT 2018 No match Home
Sat Sep 22 00:06:32 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:36 CDT 2018 waiting for Home
Sat Sep 22 00:06:36 CDT 2018 No match Home
Sat Sep 22 00:06:36 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:40 CDT 2018 waiting for Home
Sat Sep 22 00:06:40 CDT 2018 No match Home
Sat Sep 22 00:06:40 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:44 CDT 2018 waiting for Home
Sat Sep 22 00:06:44 CDT 2018 No match Home
Sat Sep 22 00:06:44 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:48 CDT 2018 waiting for Home
Sat Sep 22 00:06:48 CDT 2018 No match Home
Sat Sep 22 00:06:48 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:52 CDT 2018 waiting for Home
Sat Sep 22 00:06:52 CDT 2018 No match Home
Sat Sep 22 00:06:52 CDT 2018 skip check BuilderHome
Sat Sep 22 00:06:56 CDT 2018 waiting for Home
Sat Sep 22 00:06:56 CDT 2018 No match Home
Sat Sep 22 00:06:56 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:00 CDT 2018 waiting for Home
Sat Sep 22 00:07:00 CDT 2018 No match Home
Sat Sep 22 00:07:00 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:04 CDT 2018 waiting for Home
Sat Sep 22 00:07:04 CDT 2018 No match Home
Sat Sep 22 00:07:04 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:08 CDT 2018 waiting for Home
Sat Sep 22 00:07:08 CDT 2018 No match Home
Sat Sep 22 00:07:08 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:12 CDT 2018 waiting for Home
Sat Sep 22 00:07:12 CDT 2018 No match Home
Sat Sep 22 00:07:12 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:17 CDT 2018 waiting for Home
Sat Sep 22 00:07:17 CDT 2018 No match Home
Sat Sep 22 00:07:17 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:21 CDT 2018 waiting for Home
Sat Sep 22 00:07:21 CDT 2018 No match Home
Sat Sep 22 00:07:21 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:25 CDT 2018 waiting for Home
Sat Sep 22 00:07:25 CDT 2018 No match Home
Sat Sep 22 00:07:25 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:29 CDT 2018 waiting for Home
Sat Sep 22 00:07:29 CDT 2018 No match Home
Sat Sep 22 00:07:29 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:33 CDT 2018 waiting for Home
Sat Sep 22 00:07:33 CDT 2018 No match Home
Sat Sep 22 00:07:33 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:37 CDT 2018 waiting for Home
Sat Sep 22 00:07:37 CDT 2018 No match Home
Sat Sep 22 00:07:37 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:41 CDT 2018 waiting for Home
Sat Sep 22 00:07:41 CDT 2018 No match Home
Sat Sep 22 00:07:41 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:45 CDT 2018 waiting for Home
Sat Sep 22 00:07:45 CDT 2018 No match Home
Sat Sep 22 00:07:45 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:49 CDT 2018 waiting for Home
Sat Sep 22 00:07:49 CDT 2018 No match Home
Sat Sep 22 00:07:49 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:53 CDT 2018 waiting for Home
Sat Sep 22 00:07:53 CDT 2018 No match Home
Sat Sep 22 00:07:53 CDT 2018 skip check BuilderHome
Sat Sep 22 00:07:57 CDT 2018 waiting for Home
Sat Sep 22 00:07:57 CDT 2018 No match Home
Sat Sep 22 00:07:57 CDT 2018 skip check BuilderHome
